Track,Danceability_scaled,Loudness_scaled,Cluster
Timber (feat. Ke$ha),-0.27983510911679116,0.8143448566750173,0
Time of Our Lives,0.5935993644471093,0.39281557236690845,1
Feel This Moment (feat. Christina Aguilera),0.2941361163680582,0.9265061574704497,1
International Love (feat. Chris Brown),0.2754196633631174,1.0736716444481929,1
Fireball (feat. John Ryan),0.8431520711796525,0.49560955573327176,1
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),-0.2112081147653418,0.7576479353938096,0
Hotel Room Service,1.3984068436595605,-0.24909217987772053,1
Hey Baby (Drop It to the Floor) (feat. T-Pain),-0.19249166176040103,0.9767938615633469,0
HOT,1.6978700917386123,0.2387478514940616,1
No Lie,0.7246145354816945,1.1163175895857969,1
Temperature,2.028527428159231,0.669397944877843,1
Go Down Deh (feat. Shaggy and Sean Paul),1.0927047779121957,0.5616737944435485,1
Get Busy,0.7183757178133809,0.8005403888848102,1
She Doesn't Mind,0.5748829114421685,0.5380089925174791,1
Give It Up to Me,1.4296009320011283,0.7549363435064474,1
(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,0.5312111877639735,1.0724391026812101,1
I'm Still in Love with You (feat. Sasha),0.8681073418529068,0.4946235223196854,1
UP,1.1613317722636451,0.34449993510118354,1
Contra La Pared,1.2611528549566615,0.06175485375533521,1
Suspicious Minds,-0.866283969938267,-0.862404963128349,0
Burning Love,0.21303148667998165,-0.940548111155057,1
If I Can Dream,-1.8769724322050658,-0.08713619169618397,0
(You're The) Devil in Disguise,-0.9037168759481484,-0.059773764469166435,0
Hit 'Em Up - Single Version,1.8101688097682567,0.8439258590826038,1
Ambitionz Az A Ridah,1.0927047779121957,0.20325064860495767,1
California Love - Original Version,0.8556297065162797,1.0694810024404515,1
All Eyez On Me (ft. Big Syke),1.5356608323624592,0.3506626439360975,1
Do For Love,1.5481384676990864,0.9380920500800878,1
Changes,1.491989108684264,0.2715334624958034,1
Dear Mama,0.9180178831994155,0.06594549576307651,1
Keep Ya Head Up,-0.1737752087554603,0.09306141463669763,0
2 Of Amerikaz Most Wanted (ft. Snoop Doggy Dogg),1.3921680259912468,0.6435145677712046,1
Can't C Me,1.0552718719023142,1.270138802105247,1
Bad Decisions (with BTS & Snoop Dogg),0.8493908888479661,1.0093329642116922,1
